"x","y","z"
-127.721689578986,-130.028540937417,17.5908910163871
-128.257203582059,-143.263384992314,37.2780950383223
-137.577821467213,-147.542871626068,52.9796713744105
-122.871617602712,-142.532319916109,14.9189041142481
-133.436386015449,-156.674523726248,49.1700936833317
-162.813197081891,-149.588430163996,56.0517167844748
-166.199022580133,-158.295136515479,55.6926275482632
-168.819900582961,-153.180241721407,51.7232323712811
-155.029870503306,-149.570925992735,58.8287598364954
-161.047753953946,-157.076540064673,58.6474909246936
-147.496528215776,-152.979920448728,59.1993111295442
-155.361906616624,-158.513504376753,60.0155027363407
-142.415995107277,-159.122177032426,56.97814772284
-150.60285893672,-162.117081979944,59.3172613834546
-140.975724705085,-166.12386169287,52.8479151726687
-148.045806579313,-166.9216622751,56.7399559624617
-143.661033773951,-172.230640810026,48.032124560483
-148.438052054749,-171.743810999236,53.0869034702847
-149.5263051233,-175.684812164104,43.9119376116952
-151.562554244848,-175.182654331954,49.5384503002715
-157.256935543498,-175.74432981504,41.6105031023207
-156.525060078561,-176.251630636575,47.0979591929486
-164.845179379138,-172.504613077276,41.7197512945022
-162.282965033753,-174.985562923964,46.1209650940396
-169.868998726694,-166.194402074219,43.4609041597026
-167.042012912801,-171.381947995759,46.8192340839246
-171.355794485003,-159.155446671133,47.114606742898
-169.527051481809,-166.406469550881,49.0055406223151
-169.323566711087,-161.733979265403,52.1441939134735
-157.052431405905,-177.200261213388,51.1016680634876
-159.48761244744,-181.285982912024,56.86652351841
-153.886468256231,-175.572041582155,53.7629148366925
-161.320468085315,-176.969063441378,49.5438787245225
-162.772676147531,-181.732700282446,54.6508083725236
-165.618094284664,-174.982754434213,49.2415539533721
-166.612157365489,-180.606969868974,53.6229163285395
-168.540170917872,-171.502233387633,50.6031917883258
-169.899935692963,-178.117407420135,54.105344629048
-169.557286667368,-167.731548270555,52.9362630326047
-171.755031757848,-174.931197277047,55.9686653844858
-168.325795702671,-164.638547790503,55.8813088956001
-171.757701591298,-171.99505488593,58.6666577083853
-165.02320820698,-162.873412216591,58.7667765552305
-169.843593573113,-170.038055341223,61.6126719026112
